ticker,sector
AAPL,Information Technology
MSFT,Information Technology
NVDA,Information Technology
JPM,Financials
BAC,Financials
GS,Financials
JNJ,Health Care
UNH,Health Care
PFE,Health Care
AMZN,Consumer Discretionary
TSLA,Consumer Discretionary
HD,Consumer Discretionary
GOOGL,Communication Services
META,Communication Services
VZ,Communication Services
CAT,Industrials
HON,Industrials
UPS,Industrials
PG,Consumer Staples
KO,Consumer Staples
WMT,Consumer Staples
XOM,Energy
CVX,Energy
SLB,Energy
NEE,Utilities
DUK,Utilities
PLD,Real Estate
AMT,Real Estate
LIN,Materials
SHW,Materials
